ulasan,rating,sentimen
Kau kalo mau ngehina islam boleh tapi jangan hina muhammad dan tuhan kami yang 1 vidio lafas Allah di tulis di lantai kalo ga niat bikin apk ga usah babi negara mu itu haram semua sama presiden nya sekaligus tolol,1,negatif
Oon apk udah di update malah ga bisa dibuka.,1,negatif
Keren n bagus thanks,5,positif
"udah bayar tapi GK bisa nonton perkara pembayaran terakhir belum selesai ,tapi uang nya sudah keluar gimn tuh minn?",3,negatif
Very entertaining,5,positif
besok,1,negatif
Good,5,positif
Metode pembayaran kurang luas,1,negatif
tolongggg,5,positif
Ntap,5,positif
"apaa ini susah login,fakkk",1,negatif
Oke,5,positif
Iyaa kren,5,positif
Good,5,positif
"Taik anjir blm apa"" udah di suruh bayar wkkkk",1,negatif
Gimana apk nya. Udah ikuti caranya masih juga gabisa malah suruh lanjut di google dan berbayar,1,negatif
Sangat puas untuk nonton..,5,positif
keren,5,positif
Mantap menyala abangkuhhh,5,positif
good 👌🖒,5,positif
"Susah connect untuk masuk, try again terus . Ada apa dengan konektifitas nya ? Maaf saya mau berhenti langganan saja",1,negatif
Dissapoint,1,negatif
Rantingnya sangat bagus,1,negatif
Ini gimana sih udah 3 hari masa gak bisa buka app nya padahal berlangganan udah.. sinyal juga kuat.. masa gak bisa buka ... Biasanya gak gini Kecewa bgt deh,1,negatif
"please change the payment method. use the DANA or GO PAY application, because not everyone has a debit and credit card",2,negatif
Sangat mengecewakan,1,negatif
Masal,5,positif
Aplikasi terbaik buat nonton flim,5,positif
Sudah bayar tapi nggak mau masuk,1,negatif
Is Very good,5,positif
Saya mau langganan tapi ga punya kartu kredit gimana dong ..ayolah permudah pembayaran nya biar banyak yg berlanganan,1,negatif
Bagussss sekaliiiii,5,positif
Gk bisa di buka,1,negatif
Seru liat film banyak bgt top deh,5,positif
Seru seru gak prlu ke bioskop,5,positif
Its good,4,positif
Are you kidding me?,1,negatif
entah knp serial netflix yg sekarang pada jelek² semoga aja 2025 banyak serial bagus,5,positif
susah dibuka gak.jelas,1,negatif
the movies on Netflix are not that good and many movies already appear on other apps before in Netflix...less updates !!! pay a premium for older films and a small selection of the latest films. especially for Korean dramas only a few and all old movies.. very disappointed !!!,1,negatif
cup hade baru☺☺☺☺,5,positif
Ok,5,positif
Niat hati mau berlangganan apalah daya diriku miskin gak punya kartu2an😭 ya sudah uninstal saja😅,1,negatif
Ok,5,positif
Aneh,1,negatif
Perfect,5,positif
Terlalu bnyak perangkat ??. Padahal cuma trpasang di 2hp doang. Kok jd gni stelah update. Tolong dong perbaiki.,4,positif
Manyap,5,positif
Suka bnget pokok nya tpi agak susah download nya sih karna bnyak kndala nya,5,positif
"Sesuai untuk penghobi menonton film,kualitas gambar bagus",5,positif
Iya,5,positif
Belom ada terusan untuk film boruto ya ?.,2,negatif
PERFECT NO COMMENT,5,positif
"Semuanya oke movies, TV series, documenter 👍👍",5,positif
Ok,5,positif
Sy berlangganan untuk 4 tv hanya di tv yg 1 keluar kode tvq pb 101 padahal sudah sy coba matikan daya tetap tidak bisa mohon bantuan tv merk lg uhd 50 inch,1,negatif
udh dwnld aplikasi nya ga bs di buka ..,1,negatif
Rasis,1,negatif
Netflix kenapa ya kok gak bisa di buka,1,negatif
Ok,5,positif
Tampilan barunya netflix gak banget ampun bkin mls liatnya plis balikin ke seperti sebelumnya. Tampilannya plihan film trllu besar bkin sakit mata.niat scroll pilih film ke kanan malah pindah ke kiri bkin pusing,1,negatif
lets,5,positif
mantap👍👍,5,positif
Loding teruuuss,1,negatif
😁,3,negatif
Aplikasi apaan masa nonton film bayar bulanan,1,negatif
Kenapa Netflix gbisa kebuka diandroid sya ya? Mohon penjelasannya mimin,3,negatif
Anjg,1,negatif
Ok lah buat hilangin kegaduhan di kepala,4,positif
Bagus tapi harus bayar dulu :/,5,positif
Woii kenapa gk bisa daftar,1,negatif
Ringan gak kayak sebelah. Cuman berharap paket preiumnya di turunin dikit dong.,5,positif
"Gimana pembayar otomatis tanpa yg bayar tauuu, aplikasi bodohhhh merugikannn orggg netflixx GK pernahhh di pakaiii tapii pembayaran tetep jalannn,yangg ke sedottt di ATM. Parahhhhjjj!!!!!!!!!",1,negatif
Aplikasi ribet,1,negatif
tolong delate film #boikotumbrellaakademy3,1,negatif
gas nonton cobra kai,5,positif
GUA UDH BAYAR TPI GABIS nnti oii,1,negatif
Untung ada versi mod nya :),1,negatif
Kalau ndak bisa dibuka hapus aj aplikasinya,1,negatif
Ini aplikasi cuma buat orang berada men gua pas masuk oke gua log in tapi setelahnya harus bayar klo mau akses ni aplikasi. gua uninstall aja ribet amat oke gua maklumi buat film itu membutuhkan bajet gede tpi bagi kami orang seadanya player gratisan apa boleh buat uninstall,1,negatif
Saya mau free hihihi🌝✨💫,1,negatif
Ok,5,positif
"Cobaa netflix bayar bisa dong pake gopau,ovo,sama potong pulsa klo orang yg ga punya visa sama master card kan susah, gimana nih pihak neftlix indonesia",3,negatif
Aplikasi asu,1,negatif
Butut jangan di dongload ngeleggggg,1,negatif
Baik,3,negatif
cacad gabisa login padahal udah daftar mati aja netfflikontl,1,negatif
Hapus tuh tenggil bangt lu usik agama gua dan Tuhan gua!!!,1,negatif
Anime Onepiece nya lambat update🥲,2,negatif
Nyesel,1,negatif
A+,5,positif
Mantafff,5,positif
Aplikasi tolol masa harus bayar pokoknya jangan di donlod nanti nyesal,1,negatif
jelek bet dah,1,negatif
Knpa lama sekali bodo,1,negatif
Netflix nonton keren,5,positif
"Saya butuh versi gratis, more ads is no problem",1,negatif
"Saya udah tulis email sama telfon saya, tapi kok Masih gk bisa daftar ya? Padahal ini no telpon sama email nya sudah benar saya cek, apa saya yg salah, mohon bantuannya",1,negatif
Ribet banget cuma daftar jugaaa tolong untuk diperbaiki!,1,negatif
Error,1,negatif
Sayangnya tidak bise menonnton menggunakan samsung dex,1,negatif
"Telkom udah buka blokiran, noice noice.",5,positif
Gw mau gratisan gak mau bayar,1,negatif
"Bagus, banyak pilihan, tapi mahal 😴",2,negatif
Mau daftarnya susah banget. Bisa di permudah nggak sih,1,negatif
KENAPA GA ADA FROZEN? AK MAU NONTON FROZEN 😡,1,negatif
Sukaaa..,5,positif
Kenapa harus ada kontrak segala,1,negatif
Good luck..👍👍,4,positif
Tambahkan film GRAVE OF THE FIRFLIES pleaseeee !!!,5,positif
"lihat lah bagaimana rakyat Indonesia, yg salah 1 produksi series tapi yg kena 1 perusahaan, trus apa gunanya kids ngespam bintang 1? yg ad lu makin keliatan buruk dimata orang luar ujungnya apa? agama lu juga yg kena, minimal kalo udh dikasih otak sama tuhan tuh dipake jngn buat nonton bkep doang.",5,positif
"Udah Download gak bisa buka2 setelah baca komen2 memang gak bisa dibuka, saya trmasuk pengguna telkomsel , langsung hapus applikasi netflix nya. bintang 1 utk applikasi ini 👎🏼👎🏼👎🏼",1,negatif
"Saldo Kuota Netflix masih 160rb, dan setelah bayar Netflix FHD untuk dua perangkat 120/bulan di tgl 11 Maret 2024 seharusnya penagihan lagi tgl 11 April 2024 baru potong saldo, tapi ini tgl 1 april sisa saldo Kuota Netflix 40rb saya dipotong mpe habis dan Gopay saya terpotong 120rb... ini sama saja Tim Netflix mencuri saldo Voucher Netflix saya 40rb... Hellooo Voucher juga beli pake duit kali, saldo tidak dibalikin saya+keluarga tidak akan langganan Netflix lagi selamanya. Terimakasih",1,negatif
"Parahhhh baru download masuk aja suruh bayar duluuuu, auto uninstal !!!!!!",1,negatif
Keren.. good job.. semoga berlimpah rezekinya Aamiin,5,positif
ptani,1,negatif
bagus,5,positif
Pas saya bergabung dengan Netflix hissssssss sad gw harus bayar tapi saldo saya 0 gratis sin ngapa konttttol,1,negatif
Ribet daftar,1,negatif
bagus kalau bisa banyakin film bioskopnya dan jangan hilangkan film,5,positif
Gak bisa daftar padahal akun ku bisa aja trus kata sandinya betul aja kok gak bisa kan anehh,3,negatif
gak bisa di tonton video nya,1,negatif
Bagus ya banget aplikasi nya dan keren ya,5,positif
Ok yh,5,positif
Keren,5,positif
Min kok setelah pembayaran ke 2 netflik tidak bisa di buka,2,negatif
"Ga jelas bet, suka keluar sendiri",1,negatif
Mantap,5,positif
Keren👍👍,5,positif
Bagus keren,5,positif
Bagus sih makin di update,5,positif
Aplikasinya ga bisa dibuka,5,positif
Gimana cara masuknya anjg,1,negatif
Gak bisa dibuka woyyy ini kenapa,1,negatif
Luar Biasa,5,positif
"Udah langganan tapi akunnya ga bisa masukk, solusinya dongg saya rugi bgt",1,negatif
Good,5,positif
💯💯,5,positif
Mantp,5,positif
It will be good if the next update of the app supports VR play mode like YouTube.,5,positif
"apk streaming ter bobrok ya netflix,baru mau masuk suruh login doang aja gabisa ,mending pindah ke lk21 aja deh nonton yg elegal makin seru dann asik,gratis lagi ketimbang netflix udh bayar ga bikin customer nyaman cuih",1,negatif
Demon Slayer 👍,5,positif
Gak jelas ini Netflix susah login,2,negatif
Gausah download netflix kudu² berbayar berlangganan gak bisa aku tanpa pembayaran. Tutorial dong cara daftar tanpa berlangganan gak sudi aku download apk ga jelas,1,negatif
"Saya sudah download aplikasinya ulang2 tapi tetap aja gak bisa. Katanya *Maaf,Kami tidak melayani jangkauan netflix* Nyesel saya download ulang2.",1,negatif
"Gak bisa dibuka, di uninstall juga gak bisa. Terus maunya apa",1,negatif
Dibikin kaya youtube aja kalo pengen laku. Gratis buat nonton video nya tapi gpp memakan kuota banyak juga.,3,negatif
"Udah bayar tp ga bs dibuka, baru baca ulasan ternyata pake indihome gak bisa, emg bener y?",1,negatif
"Kayak nya apk ini tidak bisa di pakai menggunakan HP android deh, percuma di unduh walaupun ram HP besar.",2,negatif
huuuuhh perusahaan rasis #boikotumbrella,1,negatif
SANGAT JELEK,1,negatif
Good,5,positif
Mantap aplikasi nonton tdk ribet,5,positif
Siippp,5,positif
netflix is the best,5,positif
aplikasinya sih bagus tpi msalahnya di pembayaran saya baca2 syart2 brrti ini kan otomatis potong saldo jdi gak bagus sih mnurut aku shrusnya bisa via transfer atau yang lain lah. jdi gak prcya aja sama netflixnya... hbis donwload lgsung unistall lgi hehehehehheheh,3,negatif
Aing uus samuray butut anying aplakasi teh saha nu nyien na ku aing sabet,1,negatif
"Ada yg bisa jelasin,bulan lalu aku download ternyata gak bisa nonton pake internet tekomsel karena katanya do blokir sma pihak tlkomsel.jd aku pake krtu lain. Dan kmrin scra gk sngja aku buka app ini pake jringan tlkomsel dan sampe skrg bisa buka bisa nnton.. Jawab dong yg tau,aku bingung skligus seneng sendiri.. 😁",5,positif
Biasa,3,negatif
Disuruh byr dulu... Adehhhh... Pake credit card lagi.... Mn bisaa..... Opsi lain dong,1,negatif
gratis tapi minta no kartu kredit.... iklan doang... kasian yaahhhh.. coba dulu laahhhh,1,negatif
Otak lu di mana deck,1,negatif
"Netflix Jangan lah, naro film ad lafaz Allah",1,negatif
Apk berbayar kentod,1,negatif
Email uda bener gk bisa login....,1,negatif
"Susahbet anying login nya sandi udah bener masih aja ""sandi salah"" anying lah",1,negatif
Netflix udah mau bangkrut makanya promosi pake hina agama. Semoga bangkrut nya lebih cepat,1,negatif
Daftar ajh susah sandi gagal terus padahal bnr sandinya itu dasar bocil kematian emang sesat,1,negatif
Good,5,positif
Seru banget,5,positif
ribettt,1,negatif
"Ga bisa d buka,percuma",1,negatif
Apl goblok,1,negatif
ok,5,positif
Baru aja saya daftar dan bayar sebesar 54rb untuk layanan ponsel & tablet stlah itu ga sengaja keluar dan disuruh daftar lagi trus suruh transfer lagi gimna sih ini syaa ga paham,1,negatif
"Admin, netflix saya bahasa vietnam, bagaimana cara mengubahnya ke bahasa indonesia.",3,negatif
tapi gak bisa daftar,5,positif
Kenapa ga bisa di buka yaa netflix nya hmmm,1,negatif
Alus,5,positif
"Knpa ini udh berlangganan blm ad sehari mke udh gk bsa di bka lagi app Netflix nya, loading trs gk bsa msk pedahal jringan aman bgus",2,negatif
Good,5,positif
good,5,positif
Bagus,4,positif
🥶😎🥶😎🥶😎🥶😎🥶😎🥶😎slebewww jelek burik kek epep yhhahahahhaha yhahahahhahaha hayuk jelek jelek jelek😎🥶😎🥶😎🕐😎🥶😎🥶😎🥶😎🥶😎🥶😎🥶😎 jangan lu order jamu ku ya kawan bisa bikin badan sehat dan segar custt order,1,negatif
"Payment Method tolong dong di ubah, nyesuain sama yang di Indonesia, harga lokal juga tolong dibenahin, full pay tapi kaga lengkap isinya sama aja boong!",1,negatif
"NETFLIx memang terbaik, segera download dan nikmati layanan terbaik dari NETFLIX. ❤",5,positif
Aplikasi Nonton Film Terbaik,5,positif
"Pakenya jangan wifi ind**om* atau telko*s**, krn ga akan bisa. Entah mereka berdua berantem kali jadi main blokir. Tp serius ini filmya bagus2, cm saya kurang tertarik dr harganya krn mnurut saya kemahalan dan bayarnya agak susah harus pake debit atau kartu kredit, tau sndiri riwayat kartu kredit di indo itu ky apa. Sedangkan debit di indo huh.. jangan berharap bnyk. Minta tolong harganya dturunin dan pmbyarannya dipermudah. Filmnya uda keren2 bgt. Tq mimin",5,positif
Substitlenya,1,negatif
ini kenapa gabisa login ya? kaya masalah sambungan gitu. tolong nih ane gabisa masuk ke aplikasinya karena gabisa login dengan alasan masalah sambungan.,2,negatif
Mantap,5,positif
Sip mantap,5,positif
Top,5,positif
"Aplikasinya hrus bayar,kira in aku gratis :v",2,negatif
Bye netflix,1,negatif
Udah gw bilang pake iflix aja,5,positif
apk bikin pusing mau login gk bisa padahal email sama pwnya bener masih gk bisa,1,negatif
top,5,positif
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🤗🤗🤗,5,positif
"Maaf saya kasih bintang 1 karena anda telah menulis lafaz Allah di lantai,dan itu seharusnya tidak anda lakukan",1,negatif
Top,5,positif
Great,5,positif
loading trussss gatau kenapa ampe hapus data dll tetep aja loading trus,1,negatif
Mantap,5,positif
Bagus ada bug gampang di hack,5,positif
Ini gmn sehhh aplikasinya kan msk pake email langganan ga bs2.,1,negatif
Mantap,5,positif
Kenapa ya gue risih masuknya nya padahal udah bner tuh nomer gw udah beberapa kali gue udah tulis nomer gw salah mulu gue risih bngt,1,negatif
Bagus banget,5,positif
"I'VE PLAYED THESE GAMES, BEFORE",5,positif
"Bagus , buat ngilangin stress ketika gak ada kerjaan jadi bisa nonton film film seru",5,positif
"GK bisa masuk anjr, pdhl sandi sama email nya udh bener, gimana sih, jadi g mood buat nonton di netflik ini, kt tmn² ku bagus apk nya tapi ko g bisa login pdhl smua sandi SMA email nya udh bener",1,negatif
Ngentod,1,negatif
"ada beberapa film yang di menit tertentu terhenti dan langsung lompat ke scene berikutnya, ayolah sekelas netflix lo",2,negatif
Waw,4,positif
aplokasi yang bermanapaat,5,positif
Mantap,5,positif
"Bagus, Dan Sangat Merekomendasikan",5,positif
"Kok aplikasi nya susah banget pas mau di buka , masa harus daftar dulu udah mana pas udah daftar gak bisa lagi , ini tolong dong di perbaiki aplikasi nya . pengen nonton umibe no etranger 😠😠",1,negatif
mantap pilihan drama dan filmnya. jernih tampilan dan suaranya.,5,positif
Bagus,4,positif
Ok,5,positif
"Aplikasi gak bisa di unistal, mau di pake tapi bayar mulu.. sampah",1,negatif
Aplikasi tidak bisa di buka di samsung note 8,1,negatif
Goood,5,positif
Bangsat,1,negatif
Sangat bagus,5,positif
Kurang dikit aja soalnya yg kita perlu tidak ada,1,negatif
Ini sangat bagus,5,positif
Harus membayar buat masuk? Payah,1,negatif
Tdk bisa dibuka Payah,1,negatif
Bagus bagus,5,positif
👍,2,negatif
"Mungkin ini terlihat sangat tolol, TAPI TOLONG VOICE 3&4 SEGERA DI PERBAHARUI😭🙏🏻",5,positif
🤦‍♂️,1,negatif
"Harus berbayar ngentod 54k, kalo mau uang bikin game aja min emang babi lah",1,negatif
Bagus,5,positif
Kualitas film yang disajikan dan gambar sangat bagus,5,positif
"Apk jelek ,harus langganan dan bayar dulu baru bisa masuk!!!!",1,negatif
Mau daftar aja seribet ini,1,negatif
bagus,5,positif
Nda ada bagus nya ini aplikasi,1,negatif
Keren,5,positif
Hbis update malah g bisa buka.,1,negatif
Apa kah bisa nonton gratis ?,5,positif
yh oks gw susah buat bayarnya 😊☝️,3,negatif
Mengapa Netflix aku mau bayar pake gopay kok enggak bisa masuk sih aku kesusahan sampai 2 jam aku enggak bisa pembayaran pake gopay aku cuma ganti kata sandi dong loh metode pembayaran pake akun lain sih,1,negatif
Keren,5,positif
#HAPUSUMBRELLAACADEMY3 @Netflix Indonesia,1,negatif
Sangat menyenangkan!,5,positif
Produksi streaming terbaik👍,5,positif
Bagus banget,5,positif
Yang bener aja ni apk baru juga selesai download dan baru mau buka apknya udah ada pemberitahuan tidak terhubung ke jaringan lawak kah terus download ni apk kalo gk ada jaringan nya gimana su..,2,negatif
Kenapa gak bisa masuk terus punya saya? Pdhl jaringan bagus,3,negatif
Sangat membantu,5,positif
Ngelag ajg udah bayar patah patah,1,negatif
APLIKASI CUPU!!!,1,negatif
METODE PEMBAYARANNYA RIBET HARUS PAKAI KARTU KREDIT . ENGGAK KAYAK APLIKASI LAIN ADA FREE DAN PEMBAYARAN GAMPANG,1,negatif
Bagussssssssssssssd,5,positif
bisa bayar pake pulsa kek,1,negatif
Bagus,5,positif
Ku kira gratis ternyata berbayar auto uninstall,1,negatif
netflix itu bagus 🗿 cuman GA KUMPLIT,5,positif
Aplikasi opo cuk.. Baru download mau masuk udh langsung suruh langganan.. Mbulet-mbulet 👎🏿 kita kan mau liat2 film nya dulu!! 👎🏿,1,negatif
"Tolong kalo langganan HD, di kasi HD lah, sakit mata inj",1,negatif
Mantap,5,positif
Menghibur,5,positif
"aplikasi nya bagus, banyak tontonan sejauh ini pun masih belum ada bug atau semacamnya",5,positif
smart aplikasi,5,positif
Ok,5,positif
Mohon tambah metode pembayaran seperti gopay/dana dan lainnya,1,negatif
"Luar biasa, puas dengan satu account dapat menonton di 4 perangkat berbeda dengan selera masing-masing",5,positif
Sangat Memuaskan,5,positif
GA PUNYA ADAB!,1,negatif
"gabisa milih kualitas video, layar terlalu cerah, tiba2 nge freeze terus",1,negatif
good looking,5,positif
Mengapa saya tidak bisa bayar via Dana ? Caranya gimana ???,4,positif
G bisa dibuka,1,negatif
Sumpah ribet banget gaba bisa masuk,1,negatif
Di coba ndulu,3,negatif
Bagus,5,positif
Oke,5,positif
Aplikasi gajelas! Mau daftar tapi gabisa!,1,negatif
udah di login pake email lengkap tp tidak bisa. huhhh...,1,negatif
"Aplikasinya gak bagus Buat akun sudah ada muncul percobaan 30 hari gratis tapi pake kartu kredit, jika gak punya kartu kredit gak bisa masuk juga dalam akunnya",1,negatif
Bagus,4,positif
Ga banget👎👎👎,1,negatif
Kecewa... Aplikasi mentok logo,1,negatif
Aplikasi Gblk Disuruh masuk malah Akun Goggle Gak Valid Tolol emnag ajg,1,negatif
⁹],5,positif
Tidak sempat nonton,1,negatif
👍👍👍👍👍,5,positif
"aplikasi begok, mau daftar aja ga bisa. percuma aja...",1,negatif
Aku buru buru untuk mengambil hadiyah,5,positif
Gak bisa masuk 🐕,1,negatif
Sementara saya kasih bintang dua dulu ya soalnya metode pembayaranya cuma kartu kredit tolong tambahkan metode lain seperti indomaret/alfamart pliss,2,negatif
Gak harus berlanggana bisa gak?😭,1,negatif
👍🏿,5,positif
Kenapa habis selesai login bukanya masuk malah login ulang?,1,negatif
kerennn netflix‼️ apk nonton gw cuma di netflix,5,positif
Buat menghilangkan jenuh saat menonton kalo bisa di perbarui film film baru dan yg bagus,5,positif
film yang saya tonton tiba-tiba hilang dan tidak dapat di cari,1,negatif
"Goblok,lafaz Allah di tulis di lantai.#TUNTUTNETFLIX",1,negatif
"Filmnya bagus2,,,syuka aja ma netflix",5,positif
Keren banget gan film film na keren keren semua debes deh😍🖤,3,negatif
"Metode pembayaranya ribet banget, ga suka",2,negatif
saya belum pernah coba nonton,4,positif
Good,5,positif
Netflix emang berbayar gini ya?? plis kalo mau nonton apa apa itu jadi sulit apalagi buat anak sekolah yang mau nonton film ke sukaanya.,3,negatif
keren jir apk nabir jr nya 😹,5,positif
Tolong y netflik y gk bisa ditonton pas mendaftar malah dikasih link untuk browser pas aku klik malah car mendownload sama cara menggunakan ya tolong y kk aku pengen banget mau nonton,1,negatif
G o o o o d,5,positif
Udah beli paket di provider tetep disuruh bayar paket di web netflix. Jadi ga guna beli di provider. Tolol,1,negatif
Tambahkan cara bayar melalui PULSA TELKOMSEL,4,positif
Bedebest,5,positif
Aplikasi sampah,1,negatif
Gimana sih cara login ke aplikasi ini ko saya mh harus terus²san nge login,1,negatif
Terfavorit,5,positif
-1 otak,1,negatif
Bagus dan keren,4,positif
Gak bisa dibuka anj,1,negatif
keren,5,positif
BUG PEMBATASAN LAYAR TERUS RUGIIIII,1,negatif
Aplikasi filmnya bagus bagus,5,positif
"Sudah seminggu gak bisa akses Netflix. Berlangganan bulanan di potong sesuai target tapi aplikasi tidak bisa di akses, saya merasa dirugikan. Tolong diperbaiki kerusakannya.",1,negatif
👍,5,positif
Lumayan bagus tapi burik,1,negatif
Saya tidak bisa membuka aplikasinya selalu stuck di Logo nya,1,negatif
"sudah 2 Minggu tidak bisa memutar video padahal baru bayar, jadi males berlangganan lagi.",1,negatif
Buset ada 500 jt orang kaya ternyata 👏,5,positif
You pig,1,negatif
Engg Se-lengkap itu jirr,4,positif
Baru buka kok lemot ya?,1,negatif
apk gajelas gabisa daftar atau masuk,1,negatif
Tambahin metode pembayaran lain,1,negatif
"Aplikasi tidak bisa dibuka baik di hp Vivo v17pro, iPhone 7+, sama smart tv. Semoga bisa diperbaiki",1,negatif
